V0;V1;V2a;V2b;V3a;V3b;V4a;V4b;V4c;V5a;V5b;V5c;V6;V7;V8;V9;V10a;V10b;V11a;V11b;V11c;V12a;V12b;V13a;V13b;V14a;V14b;V15a;V15b;V16a;V16b;V17;V18;V19
NUI2507;Porto Alegre;Gravataí;Grupo 2;Parque Do Sol;1;40;Prefeitura;2017;1;NA;NA;4;3;2;4;1;NA;0;NA;NA;1;NA;1;-;1;NA;1;NA;1;NA;1;NA;até 50
NUI2508;Porto Alegre;Gravataí;Grupo 2;Miraflores;1;504;Prefeitura;2017;2;NA;NA;4;1;1;4;1;NA;1;FBDS;NA;1;NA;1;-;1;NA;1;NA;1;NA;2;NA;de 100 a 700
NUI2509;Porto Alegre;Gravataí;Grupo 2;Cruzeiro Ii_Rua Zaire;1;130;Prefeitura;2017;1;NA;NA;4;3;3;4;1;NA;0;NA;NA;1;NA;1;-;2;NA;2;NA;2;NA;2;NA;de 100 a 700
NUI2510;Porto Alegre;Gravataí;Grupo 2;Cruzeiro Ii_Rua Venezuela;1;16;Prefeitura;2017;1;NA;NA;4;2;3;4;1;NA;0;NA;NA;1;NA;1;-;2;NA;4;NA;2;NA;2;NA;até 50
NUI2511;Porto Alegre;Gravataí;Grupo 2;Parque Florido;1;117;Prefeitura;2017;1;NA;NA;4;3;3;4;1;NA;1;FBDS;NA;3;Arroio - Indicado pela prefeitura;1;-;3;NA;4;NA;2;NA;2;NA;de 100 a 700
NUI2512;Porto Alegre;Gravataí;Grupo 2;Vila Rica_Lagoa Formosa;1;60;Prefeitura;2017;1;NA;NA;4;3;2;4;1;NA;1;FBDS;NA;1;NA;1;-;2;NA;4;NA;2;NA;2;NA;de 51 a 99
NUI2513;Porto Alegre;Gravataí;Grupo 2;Sao Judas Tadeu_R Henrique Dias_Valco Alves;1;25;Prefeitura;2017;1;NA;NA;4;3;3;4;1;NA;0;NA;NA;1;NA;1;-;1;NA;1;NA;1;NA;1;NA;até 50
NUI2514;Porto Alegre;Gravataí;Grupo 2;Sao Judas Tadeu I - Area Verde;1;28;Prefeitura;2017;1;NA;NA;4;3;3;4;1;NA;0;NA;NA;1;NA;1;-;4;NA;4;NA;1;NA;1;NA;até 50
NUI2515;Porto Alegre;Gravataí;Grupo 2;Sao Judas Tadeu II;1;8;Prefeitura;2017;1;NA;NA;4;3;3;4;1;NA;0;NA;NA;2;NA;1;-;4;NA;4;NA;1;NA;1;NA;até 50
NUI2516;Porto Alegre;Gravataí;Grupo 2;Sao Judas Tadeu III_Barnabe_Padre Chagas;1;13;Prefeitura;2017;1;NA;NA;4;2;3;4;1;NA;1;FBDS;NA;3;Indicado pela prefeitura;1;-;4;NA;4;NA;1;NA;1;NA;até 50
NUI2517;Porto Alegre;Gravataí;Grupo 2;Fundos Do Bom Fim_Tr Manoel Link;1;22;Prefeitura;2017;1;NA;NA;4;2;3;4;1;NA;1;FBDS;NA;1;NA;1;-;2;NA;1;NA;1;NA;1;NA;até 50
NUI2518;Porto Alegre;Gravataí;Grupo 2;Bom Fim_Area Praca;1;18;Prefeitura;2017;1;NA;NA;4;3;3;4;1;NA;0;NA;NA;1;NA;1;-;4;NA;4;NA;1;NA;1;NA;até 50
NUI2519;Porto Alegre;Gravataí;Grupo 2;Sao Jeronimo 2;1;57;Prefeitura;2017;1;NA;NA;4;3;2;4;1;NA;1;FBDS;NA;1;NA;1;-;2;NA;4;NA;1;NA;1;NA;de 51 a 99
NUI2520;Porto Alegre;Gravataí;Grupo 2;Sao Jeronimo - R Angico;1;14;Prefeitura;2017;1;NA;NA;4;3;3;4;1;NA;0;NA;NA;1;NA;1;-;2;Ocupacao ao longo de uma via;1;NA;1;NA;1;NA;até 50
NUI2521;Porto Alegre;Gravataí;Grupo 2;Cohab B;1;72;CADUNICO;2020;1;NA;NA;4;3;3;4;1;NA;0;NA;NA;1;NA;1;-;2;NA;2;NA;1;NA;1;NA;de 51 a 99
NUI2522;Porto Alegre;Gravataí;Grupo 2;Cohab B - RT4;1;9;Prefeitura;2017;1;NA;NA;4;3;3;4;1;NA;0;NA;NA;1;NA;1;-;2;Ocupacao ao longo de uma via;2;NA;1;NA;1;NA;até 50
NUI2523;Porto Alegre;Gravataí;Grupo 2;Monte Belo;1;19;Prefeitura;2017;1;NA;NA;4;3;3;4;1;NA;0;NA;NA;1;NA;1;-;4;NA;4;NA;1;NA;1;NA;até 50
NUI2524;Porto Alegre;Gravataí;Grupo 2;Sao Joao;1;60;Prefeitura;2017;2;NA;NA;4;3;3;4;1;NA;0;NA;NA;1;NA;1;-;1;NA;1;NA;1;NA;2;NA;de 51 a 99
NUI2525;Porto Alegre;Gravataí;Grupo 2;Monte Claro;1;92;Prefeitura;2017;2;NA;NA;4;3;2;4;1;NA;1;FBDS;NA;1;NA;1;-;1;NA;1;NA;1;NA;1;NA;de 51 a 99
NUI2529;Porto Alegre;Gravataí;Grupo 2;Sao Geraldo Dom Pedro II;1;31;Prefeitura;2017;1;NA;NA;4;3;3;4;1;NA;0;NA;NA;1;NA;1;-;2;NA;4;NA;1;NA;1;NA;até 50
NUI2527;Porto Alegre;Gravataí;Grupo 2;Sao Geraldo I Campo do America;1;140;Prefeitura;2017;1;NA;NA;4;3;3;4;1;NA;0;NA;NA;1;NA;1;-;3;NA;4;NA;2;NA;3;NA;de 100 a 700
NUI2526;Porto Alegre;Gravataí;Grupo 2;Sao Geraldo I Praca da Bandeira;1;160;Prefeitura;2017;1;NA;NA;4;3;3;4;1;NA;0;NA;NA;1;NA;1;-;2;NA;4;NA;2;NA;2;NA;de 100 a 700
NUI2528;Porto Alegre;Gravataí;Grupo 2;Sao Geraldo III 25 Fevereiro;1;11;Prefeitura;2017;1;NA;NA;4;3;3;4;1;NA;1;IPEA;imagem de satélite;1;NA;1;-;2;NA;2;NA;1;NA;2;NA;até 50
NUI2530;Porto Alegre;Gravataí;Grupo 2;Joao Maria da Fonseca Beco I E II Centro;1;40;Prefeitura;2017;1;NA;NA;4;3;2;4;1;NA;1;FBDS;NA;1;NA;1;-;2;NA;1;NA;1;NA;2;NA;até 50
NUI2531;Porto Alegre;Gravataí;Grupo 2;Vila Bela;1;50;Prefeitura;2017;2;NA;NA;4;3;3;4;1;NA;0;NA;NA;1;NA;1;-;1;NA;1;NA;1;NA;2;NA;até 50
NUI2532;Porto Alegre;Gravataí;Grupo 2;Aguas Claras;1;35;Prefeitura;2017;1;NA;NA;4;2;3;4;1;NA;1;FBDS;NA;3;Arroio - Indicado pela prefeitura;1;-;2;NA;4;NA;1;NA;1;NA;até 50
NUI2533;Porto Alegre;Gravataí;Grupo 2;Diva Lessa De Jesus;1;55;Prefeitura;2017;1;NA;NA;4;3;3;4;1;NA;1;FBDS;NA;1;NA;1;-;2;NA;4;NA;2;NA;1;NA;de 51 a 99
NUI2534;Porto Alegre;Gravataí;Grupo 2;Santa Cruz - Praca Rua Triangulo;1;20;Prefeitura;2017;1;NA;NA;4;3;2;4;1;NA;0;NA;NA;1;NA;1;-;2;NA;4;NA;1;NA;2;NA;até 50
NUI2535;Porto Alegre;Gravataí;Grupo 2;Padre Reus;1;932;Prefeitura;2017;2;NA;NA;4;3;1;4;1;NA;1;IPEA;leitura de imagem;3;Indicado pela prefeitura;1;-;1;NA;1;NA;1;NA;2;NA;de 701 a 2.000
NUI2536;Porto Alegre;Gravataí;Grupo 2;Antonio Carlos Jobim_15Ha;1;430;Prefeitura;2017;2;NA;NA;4;2;3;4;1;NA;1;FBDS;NA;3;Indicado pela prefeitura;1;-;2;NA;1;NA;2;NA;2;NA;de 100 a 700
NUI2537;Porto Alegre;Gravataí;Grupo 2;Antonio Carlos Jobim_7Ha_Area Cooperativa;1;283;Prefeitura;2017;2;NA;NA;4;3;2;4;1;NA;0;NA;NA;1;NA;1;-;2;NA;1;NA;2;NA;2;NA;de 100 a 700
NUI2538;Porto Alegre;Gravataí;Grupo 2;Ceramica Stella_R Afonso Arinos;1;278;Prefeitura;2017;1;NA;NA;4;3;3;4;1;NA;1;FBDS;NA;3;Indicado pela prefeitura;1;-;2;NA;1;NA;2;NA;3;NA;de 100 a 700
NUI2539;Porto Alegre;Gravataí;Grupo 2;Cledi_1;1;47;Prefeitura;2017;1;NA;NA;4;2;2;4;1;NA;1;IPEA;imagem de satélite;1;NA;1;-;2;NA;4;NA;1;NA;2;NA;até 50
NUI2540;Porto Alegre;Gravataí;Grupo 2;Cledi_2;1;20;Prefeitura;2017;1;NA;NA;4;3;2;4;1;NA;0;NA;NA;1;NA;1;-;2;NA;4;NA;1;NA;2;NA;até 50
NUI2541;Porto Alegre;Gravataí;Grupo 2;Granville;1;68;Prefeitura;2017;1;NA;NA;4;3;2;4;1;NA;1;FBDS;NA;1;NA;1;-;1;NA;2;NA;1;NA;2;NA;de 51 a 99
NUI2542;Porto Alegre;Gravataí;Grupo 2;Barnabe_Sao Judas Tadeu_R Ouro Fino;1;25;Prefeitura;2017;1;-;NA;4;3;3;4;1;NA;1;FBDS;NA;3;Indicado pela Prefeitura;1;-;2;-;3;-;1;NA;1;"Ocupacao irregular de miolo de quadra.
Boa parte é ocupada por uma empresa.";até 50
NUI2543;Porto Alegre;Gravataí;Grupo 2;Alianca_Quadra F, J, L, M, N, O, P, Q, R, S, U, V E Parte E;1;340;Prefeitura;2017;1;NA;NA;4;3;3;4;1;NA;0;NA;NA;1;NA;1;-;2;NA;4;NA;1;NA;1;NA;de 100 a 700
NUI2544;Porto Alegre;Gravataí;Grupo 2;Parque Industrial Gravataiense_Joao Hoppe;1;25;Prefeitura;2017;1;NA;NA;4;2;2;4;1;NA;0;NA;NA;1;NA;1;-;1;NA;1;NA;1;NA;2;NA;até 50
NUI2545;Porto Alegre;Gravataí;Grupo 2;Santa Helena;1;13;Prefeitura;2017;1;NA;NA;4;3;3;4;1;NA;0;NA;NA;1;NA;1;-;1;NA;1;NA;1;Habitacões padrao classe média;1;NA;até 50
NUI2546;Porto Alegre;Gravataí;Grupo 2;Sao Vicente I_R Marco Polo;1;9;Prefeitura;2017;1;NA;NA;4;3;3;4;1;NA;0;NA;NA;1;NA;1;-;2;NA;4;NA;1;NA;1;NA;até 50
NUI2547;Porto Alegre;Gravataí;Grupo 2;Sao Vicente II;1;6;Prefeitura;2017;1;NA;NA;4;2;3;4;1;NA;0;NA;NA;1;NA;1;-;1;NA;1;NA;1;NA;2;NA;até 50
NUI2548;Porto Alegre;Gravataí;Grupo 2;Sao Vicente III;1;10;Censo IBGE;2010;1;NA;NA;4;3;3;4;1;NA;0;NA;NA;1;NA;1;-;1;NA;1;NA;1;NA;2;NA;até 50
NUI2549;Porto Alegre;Gravataí;Grupo 2;Nara I;1;14;Prefeitura;2017;1;NA;NA;4;3;3;4;1;NA;0;NA;NA;1;NA;1;-;2;NA;4;NA;1;NA;2;NA;até 50
NUI2550;Porto Alegre;Gravataí;Grupo 2;Nara II;1;3;Prefeitura;2017;1;NA;NA;4;3;3;4;1;NA;0;NA;NA;1;NA;1;-;2;-;4;NA;3;NA;3;apenas 4 casas;até 50
NUI2551;Porto Alegre;Gravataí;Grupo 2;Santa Cruz - Lote 17 Quadra E;1;21;Prefeitura;2017;1;NA;NA;4;3;3;4;1;NA;0;NA;NA;1;NA;1;-;4;NA;4;NA;3;NA;3;NA;até 50
NUI2552;Porto Alegre;Gravataí;Grupo 2;Santa Cruz - Dom Feliciano;1;95;Prefeitura;2017;1;NA;NA;4;3;3;4;1;NA;0;NA;NA;1;NA;1;-;4;NA;4;NA;3;NA;3;NA;de 51 a 99
NUI2553;Porto Alegre;Gravataí;Grupo 2;Santa Cruz - Rua Porvir;1;67;Prefeitura;2017;1;NA;NA;4;3;3;4;1;NA;0;NA;NA;1;NA;1;-;2;NA;4;NA;1;NA;2;NA;de 51 a 99
NUI2554;Porto Alegre;Gravataí;Grupo 2;Santa Cruz_Travessa Jojo;1;32;Prefeitura;2017;1;NA;NA;4;3;3;4;1;NA;0;NA;NA;1;NA;1;-;2;Ocupacao ao longo de uma via;2;NA;3;NA;3;NA;até 50
NUI2555;Porto Alegre;Gravataí;Grupo 2;Santa Cruz_Beco Ambaju;1;29;Prefeitura;2017;1;NA;NA;4;3;3;4;1;NA;0;NA;NA;1;NA;1;-;2;NA;2;NA;3;NA;3;NA;até 50
NUI2556;Porto Alegre;Gravataí;Grupo 2;Santa Cruz - Quadra E - Lotes 18, 19 E 20;1;20;Prefeitura;2017;1;NA;NA;4;3;3;4;1;NA;0;NA;NA;1;NA;1;-;2;NA;4;NA;1;NA;2;NA;até 50
NUI2557;Porto Alegre;Gravataí;Grupo 2;Santa Cruz - Quadra G - Lote 6;1;12;Prefeitura;2017;1;NA;NA;4;3;3;4;1;NA;0;NA;NA;1;NA;1;-;1;NA;2;NA;2;NA;2;NA;até 50
NUI2558;Porto Alegre;Gravataí;Grupo 2;Eliza 2;1;3;Prefeitura;2017;1;NA;NA;4;3;3;4;1;NA;0;NA;NA;1;NA;1;-;1;NA;2;NA;1;NA;2;NA;até 50
NUI2559;Porto Alegre;Gravataí;Grupo 2;Condado Del Rey;1;60;Prefeitura;2017;2;NA;NA;4;2;1;4;3;NA;1;FBDS;NA;3;Indicado pela Prefeitura;1;-;2;NA;1;NA;2;NA;2;APA do Banhado Grande;de 51 a 99
NUI2560;Porto Alegre;Gravataí;Grupo 2;Nova Conquista;1;440;Prefeitura;2017;2;NA;NA;4;2;3;4;1;NA;1;FBDS;NA;1;NA;1;-;2;NA;4;NA;1;Sao construcões boas, a invasao é apenas nas bordas;2;NA;de 100 a 700
NUI2561;Porto Alegre;Gravataí;Grupo 2;Cerro Azul;1;191;Prefeitura;2017;2;NA;NA;4;2;1;4;1;NA;1;FBDS;NA;1;NA;1;-;1;NA;1;NA;1;NA;2;NA;de 100 a 700
NUI2562;Porto Alegre;Gravataí;Grupo 2;Eliza;1;17;Prefeitura;2017;1;NA;NA;4;3;3;4;1;NA;0;NA;NA;1;NA;1;-;2;Ocupacao ao longo de uma via;2;NA;1;NA;1;NA;até 50
NUI2563;Porto Alegre;Gravataí;Grupo 2;Dona Mercedes;1;31;Prefeitura;2017;1;NA;NA;4;2;3;4;1;NA;1;IPEA;imagem de satélite;1;NA;1;-;2;NA;4;NA;2;NA;3;NA;até 50
NUI2564;Porto Alegre;Gravataí;Grupo 2;Itatiaia - Area Verde;1;17;Prefeitura;2017;1;NA;NA;4;3;2;4;1;NA;0;NA;NA;1;NA;1;-;2;-;4;NA;1;NA;1;Ocupacao de Area triangular remanescente entre vias;até 50
NUI2565;Porto Alegre;Gravataí;Grupo 2;Nova Esperanca;1;1000;Prefeitura;2017;2;NA;NA;4;2;1;4;1;NA;1;FBDS;NA;1;NA;1;-;2;NA;1;NA;2;NA;3;Tem uma parte bem precAria que parece estar dentro de uma Area de banhado (charco). Essa parte tem lotes indefinidos;de 701 a 2.000
NUI2566;Porto Alegre;Gravataí;Grupo 2;Parque Pioneiro;1;11;Prefeitura;2017;1;NA;NA;4;3;2;4;1;NA;0;NA;NA;1;NA;1;-;3;Ocupacao de um parque.;4;NA;1;NA;2;NA;até 50
NUI2567;Porto Alegre;Gravataí;Grupo 2;Sao Luiz;1;36;Prefeitura;2017;1;NA;NA;4;3;2;4;1;NA;0;NA;NA;1;NA;1;-;4;NA;4;NA;1;NA;2;NA;até 50
NUI2568;Porto Alegre;Gravataí;Grupo 2;Vera Cruz I - Rua Uruguaiana;1;17;Prefeitura;2017;1;NA;NA;4;3;3;4;1;NA;1;FBDS;NA;1;NA;1;-;4;NA;4;NA;2;NA;1;NA;até 50
NUI2569;Porto Alegre;Gravataí;Grupo 2;Vera Cruz II- Lavras;1;39;Prefeitura;2017;1;NA;NA;4;3;3;4;1;NA;1;SEMA;Pesquisa de Campo;1;NA;1;-;2;NA;4;NA;1;NA;1;NA;até 50
NUI2570;Porto Alegre;Gravataí;Grupo 2;Itatiaia;1;161;Censo IBGE;2010;2;tipo 1 também;0,7;4;2;1;4;1;NA;1;IPEA;imagem de satélite;1;NA;1;-;1;NA;1;NA;1;NA;2;NA;de 100 a 700
NUI2571;Porto Alegre;Gravataí;Grupo 2;Nova Santa Cruz - Airton Senna;1;52;Prefeitura;2017;1;NA;NA;4;3;3;4;1;NA;0;NA;NA;1;NA;1;-;1;NA;4;NA;1;NA;1;NA;de 51 a 99
NUI2572;Porto Alegre;Gravataí;Grupo 2;Parque Da Lagos_Fundos;1;83;Prefeitura;2017;1;NA;NA;4;4;3;4;1;NA;0;NA;NA;1;NA;1;-;2;NA;4;NA;2;NA;3;NA;de 51 a 99
NUI2573;Porto Alegre;Gravataí;Grupo 2;Parque Da Lagoa;1;403;Prefeitura;2017;2;NA;NA;4;3;2;4;1;NA;0;NA;NA;1;NA;1;-;1;NA;1;NA;1;NA;1;NA;de 100 a 700
NUI2574;Porto Alegre;Gravataí;Grupo 2;Marrocos;1;55;Prefeitura;2017;1;NA;NA;4;3;2;4;1;NA;1;FBDS;NA;1;NA;1;-;4;NA;4;NA;1;NA;2;NA;de 51 a 99
NUI2575;Porto Alegre;Gravataí;Grupo 2;Nossa Chacara_Desmembramentos;1;151;CADUNICO;2020;2;NA;NA;4;2;3;4;1;NA;0;NA;NA;1;NA;1;-;1;NA;1;NA;1;Predominam residências de padrao classe média e algumas sao de padrao popular;2;Esse NUI é muito grande e esparso, tem vArias situacões dentro do polígono delimitado. Seria necessAria uma anAlise detalhada sócioeconômica.;de 100 a 700
NUI2576;Porto Alegre;Gravataí;Grupo 2;Alianca_Vitroquimica;1;23;CADUNICO;2020;1;NA;NA;4;3;2;4;1;NA;0;NA;NA;1;NA;1;-;3;NA;4;NA;1;NA;1;NA;até 50
NUI2577;Porto Alegre;Gravataí;Grupo 2;Alianca_Area Do Daer;1;73;Prefeitura;2017;1;NA;NA;4;3;3;4;1;NA;0;FBDS;menos de 1%;1;NA;1;-;1;NA;1;NA;1;Predominam residências de padrao classe média e algumas sao de padrao popular;1;NA;de 51 a 99
NUI2578;Porto Alegre;Gravataí;Grupo 2;Estrada Itacolomi;1;79;Prefeitura;2017;1;NA;NA;4;2;3;4;1;NA;0;NA;NA;1;NA;1;-;2;Ocupacao ao longo de uma via;2;NA;2;NA;3;NA;de 51 a 99
NUI2579;Porto Alegre;Gravataí;Grupo 2;Boa Vista;1;475;Prefeitura;2017;1;NA;NA;4;2;2;4;1;NA;0;NA;NA;1;NA;1;-;2;NA;3;NA;2;NA;2;NA;de 100 a 700
NUI2580;Porto Alegre;Gravataí;Grupo 2;Bom Fim_Ap;1;22;Prefeitura;2017;1;NA;NA;4;3;3;4;1;NA;0;NA;NA;1;NA;1;-;4;NA;4;NA;1;NA;2;NA;até 50
NUI2581;Porto Alegre;Gravataí;Grupo 2;Neiva_Fundos;1;100;Prefeitura;2017;1;NA;NA;4;3;2;4;1;NA;1;FBDS;NA;3;Risco elétrico (indicado pela prefeitura);1;-;1;NA;1;NA;1;Predominam residências de padrao classe média e algumas sao de padrao popular;2;NA;de 100 a 700
NUI2582;Porto Alegre;Gravataí;Grupo 2;Passo das Canoas;1;49;Prefeitura;2017;1;NA;NA;4;3;1;4;1;NA;1;FBDS;NA;3;imagem de satélite indica inundacao no local;1;-;1;NA;1;NA;1;Predominam residências de padrao classe média e algumas sao de padrao popular;2;NA;até 50
NUI2583;Porto Alegre;Gravataí;Grupo 2;Costa do Ipiranga - Beco da Igreja;1;29;Prefeitura;2017;1;NA;NA;3;3;1;4;1;NA;0;NA;NA;1;NA;1;-;4;NA;4;NA;3;NA;3;NA;até 50
NUI2584;Porto Alegre;Gravataí;Grupo 2;Costa do Ipiranga - Eletrosul;1;11;Prefeitura;2017;1;NA;NA;3;3;1;4;1;NA;0;NA;NA;1;NA;1;-;2;NA;4;NA;3;NA;3;NA;até 50
NUI2585;Porto Alegre;Gravataí;Grupo 2;Costa Do Ipiranga_Rua Do Castelinho;1;25;Prefeitura;2017;1;NA;NA;4;2;3;4;1;NA;0;NA;NA;1;NA;1;-;2;NA;3;NA;3;NA;3;NA;até 50
NUI2586;Porto Alegre;Gravataí;Grupo 2;Xara;1;550;Prefeitura;2017;2;NA;NA;4;3;3;4;1;NA;1;FBDS;NA;1;NA;1;-;1;NA;1;NA;4;NA;4;NA;de 100 a 700
NUI2587;Porto Alegre;Gravataí;Grupo 2;Guadalajara;1;836;Prefeitura;2017;2;NA;NA;4;2;1;4;1;NA;1;FBDS;NA;1;NA;1;-;1;NA;1;NA;2;NA;2;NA;de 701 a 2.000
NUI2588;Porto Alegre;Gravataí;Grupo 2;Novo Mundo_Lote 12;1;20;Prefeitura;2017;1;NA;NA;4;3;3;4;1;NA;0;NA;NA;3;Risco de inundacao (prefeitura);1;-;2;NA;4;NA;2;NA;3;NA;até 50
NUI2589;Porto Alegre;Gravataí;Grupo 2;Centro_R Ernesto Gomes_R Joao M Fonseca;1;73;Prefeitura;2017;1;NA;NA;4;3;2;4;1;NA;0;NA;NA;1;NA;1;-;4;NA;4;NA;2;NA;2;NA;de 51 a 99
NUI2590;Porto Alegre;Gravataí;Grupo 2;Parque dos Anjos II;1;10;Prefeitura;2017;1;NA;NA;4;3;3;4;1;NA;0;NA;NA;1;NA;1;-;2;Ocupacao ao longo de uma via;4;NA;1;NA;2;NA;até 50
NUI2591;Porto Alegre;Gravataí;Grupo 2;Parque dos Anjos I - R. HorAcio Dutra;1;18;Prefeitura;2017;1;NA;NA;4;3;3;4;1;NA;1;IPEA;imagem de satélite;3;Risco elétrico (indicado pela prefeitura);1;-;3;NA;4;NA;2;NA;2;NA;até 50
NUI2592;Porto Alegre;Gravataí;Grupo 2;Parque dos Anjos I - Bernardino T. Fonseca;1;18;Prefeitura;2017;1;NA;NA;4;3;3;4;1;NA;1;IPEA;imagem de satélite;3;Risco elétrico (indicado pela prefeitura);1;-;3;NA;4;NA;2;NA;2;NA;até 50
NUI2593;Porto Alegre;Gravataí;Grupo 2;Vila Imperial_Tr Chico Mendes;1;30;Prefeitura;2017;1;NA;NA;4;4;2;4;1;NA;1;FBDS;NA;1;NA;1;-;2;Ocupacao ao longo de uma via;1;NA;1;NA;3;NA;até 50
NUI2594;Porto Alegre;Gravataí;Grupo 2;Rosa Maria - Rua Barbosa Neto;1;68;Prefeitura;2017;1;NA;NA;4;3;2;4;1;NA;1;FBDS;NA;1;NA;1;-;2;NA;4;NA;1;NA;2;NA;de 51 a 99
NUI2595;Porto Alegre;Gravataí;Grupo 2;R. Tancredo Neves (Estr. Morro Do Coco);1;16;Prefeitura;2017;1;NA;NA;4;5;2;4;1;NA;0;NA;NA;1;NA;1;-;2;NA;4;NA;2;NA;2;NA;até 50
NUI2596;Porto Alegre;Gravataí;Grupo 2;Morada Do Vale II_Av 1;1;70;Prefeitura;2017;1;NA;NA;4;3;3;4;1;NA;1;FBDS;NA;1;Risco (indicado pela prefeitura);1;-;2;NA;2;NA;2;NA;2;NA;de 51 a 99
NUI2597;Porto Alegre;Gravataí;Grupo 2;Vila Uniao (R. Cruzeiro Do Sul);1;18;Prefeitura;2017;1;NA;NA;4;3;2;4;1;NA;0;NA;NA;1;NA;1;-;4;NA;4;NA;1;NA;1;NA;até 50
NUI2598;Porto Alegre;Gravataí;Grupo 2;Jansen_R Iguacu;1;10;Prefeitura;2017;1;NA;NA;4;3;3;4;1;NA;0;NA;NA;1;NA;1;-;1;NA;1;NA;1;NA;1;NA;até 50
NUI2599;Porto Alegre;Gravataí;Grupo 2;Santa Fe_Travessa;1;40;Prefeitura;2017;1;NA;NA;4;3;3;4;1;NA;0;NA;NA;1;NA;1;-;4;NA;4;NA;2;NA;2;NA;até 50
NUI2600;Porto Alegre;Gravataí;Grupo 2;Morada Gaúcha;1;30;Prefeitura;2017;1;NA;NA;4;3;3;4;1;NA;0;NA;NA;1;NA;1;-;2;NA;4;NA;1;NA;2;NA;até 50
NUI2601;Porto Alegre;Gravataí;Grupo 2;Fundos Do Bom Fim_Beco Fagundes;1;45;Prefeitura;2017;1;NA;NA;4;3;2;4;1;NA;0;NA;NA;1;NA;1;-;3;NA;4;NA;2;NA;2;NA;até 50
NUI2602;Porto Alegre;Gravataí;Grupo 2;Tres Estrelas;1;140;Prefeitura;2017;2;NA;NA;4;3;3;4;1;NA;1;FBDS;NA;1;NA;1;-;2;NA;4;NA;1;NA;2;NA;de 100 a 700
NUI2603;Porto Alegre;Gravataí;Grupo 2;Neiva I_R Andre Telles;1;15;Prefeitura;2017;1;NA;NA;4;2;1;4;1;NA;0;NA;NA;1;NA;1;-;1;NA;1;NA;1;NA;2;NA;até 50
NUI2604;Porto Alegre;Gravataí;Grupo 2;Neila_R Dona Neila_Juca Feijo_Costa Marfim;1;40;Prefeitura;2017;1;NA;NA;4;2;1;4;1;NA;1;FBDS;NA;1;NA;1;-;1;NA;1;NA;1;NA;2;NA;até 50
NUI2605;Porto Alegre;Gravataí;Grupo 2;Pôr-Do-Sol - Rua Bibiano De Almeida;1;35;Prefeitura;2017;1;NA;NA;4;3;2;4;1;NA;0;NA;NA;1;NA;1;-;1;NA;1;NA;1;Predominam residências de padrao classe média e algumas sao precArias;1;NA;até 50
NUI2606;Porto Alegre;Gravataí;Grupo 2;Kaiser - Area Estado;1;57;Prefeitura;2017;1;NA;NA;4;3;2;4;1;NA;1;FBDS;NA;1;NA;1;-;3;NA;4;NA;2;NA;3;NA;de 51 a 99
NUI2607;Porto Alegre;Gravataí;Grupo 2;Travessa Do Pastoreio;1;70;Prefeitura;2017;1;NA;NA;4;2;2;4;1;NA;1;FBDS;NA;1;NA;1;-;2;NA;4;NA;1;NA;2;NA;de 51 a 99
NUI2608;Porto Alegre;Gravataí;Grupo 2;Sítio Gaúcho - Fundos;1;25;Prefeitura;2017;1;NA;NA;4;2;3;4;1;NA;1;FBDS;NA;1;NA;1;-;2;NA;4;NA;2;NA;3;NA;até 50
NUI2502;Porto Alegre;Esteio;Grupo 3;Loteamento Pôr-do-sol;1;97;Censo IBGE;2010;3;NA;NA;3;3;2;1;1;NA;0;NA;NA;1;NA;1;-;1;NA;1;NA;1;NA;1;Area em processo de regularizacao (AEIS);de 51 a 99
NUI2501;Porto Alegre;Esteio;Grupo 3;Vila Floresta;1;35;Censo IBGE;2010;2;NA;NA;4;3;3;1;1;NA;0;NA;NA;2;NA;1;-;1;NA;2;NA;1;NA;1;Area irregular privada, Lei municipal 3785;até 50
NUI2500;Porto Alegre;Esteio;Grupo 3;Vila Barreiras;1;131;Censo IBGE;2010;1;NA;NA;4;2;2;1;1;NA;1;FBDS;NA;1;NA;1;-;3;NA;4;NA;3;NA;3;Area irregular pública AEIS, Lei municipal 6253;de 100 a 700
NUI2499;Porto Alegre;Esteio;Grupo 3;SEM NOME 20;3;64;Censo IBGE;2010;1;NA;NA;3;1;2;1;1;NA;1;FBDS;NA;1;NA;1;-;4;NA;3;Lotes indefinidos e ocupacao em fase inicial, por isso o distanciamento.;3;NA;3;Area pública;de 51 a 99
NUI2504;Porto Alegre;Esteio;Grupo 3;Loteamento Bruno Sperb;1;34;CADUNICO;2020;1;NA;NA;4;1;2;2;1;NA;1;FBDS;NA;1;NA;1;-;3;NA;4;NA;2;NA;2;Area em processo de regularizacao (AEI);até 50
NUI2503;Porto Alegre;Esteio;Grupo 3;Três Marias;1;9;CADUNICO;2020;1;NA;NA;4;4;1;2;1;NA;1;FBDS;NA;1;NA;1;-;2;NA;2;NA;2;NA;1;Area pública (vertente);até 50
NUI2497;Porto Alegre;Esteio;Grupo 3;Area CEEE;1;30;Aglomerados Subnormais 2019;2020;1;NA;NA;4;3;2;2;1;NA;0;NA;NA;3;Alta tensao;1;-;4;NA;4;NA;4;NA;4;Area de risco (alta tensao da CEEE) só alguns lotes com frente para a rua Carmem Miranda, sao regulares.;até 50
